,image,label
0,./part-affordance-dataset/tools/scissors_07/scissors_07_00000174_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000174_label.mat
1,./part-affordance-dataset/tools/scissors_07/scissors_07_00000202_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000202_label.mat
2,./part-affordance-dataset/tools/scissors_07/scissors_07_00000212_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000212_label.mat
3,./part-affordance-dataset/tools/scissors_07/scissors_07_00000106_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000106_label.mat
4,./part-affordance-dataset/tools/scissors_07/scissors_07_00000023_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000023_label.mat
5,./part-affordance-dataset/tools/scissors_07/scissors_07_00000033_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000033_label.mat
6,./part-affordance-dataset/tools/scissors_07/scissors_07_00000139_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000139_label.mat
7,./part-affordance-dataset/tools/scissors_07/scissors_07_00000041_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000041_label.mat
8,./part-affordance-dataset/tools/scissors_07/scissors_07_00000051_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000051_label.mat
9,./part-affordance-dataset/tools/scissors_07/scissors_07_00000180_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000180_label.mat
10,./part-affordance-dataset/tools/scissors_07/scissors_07_00000190_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000190_label.mat
11,./part-affordance-dataset/tools/scissors_07/scissors_07_00000067_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000067_label.mat
12,./part-affordance-dataset/tools/scissors_07/scissors_07_00000005_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000005_label.mat
13,./part-affordance-dataset/tools/scissors_07/scissors_07_00000015_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000015_label.mat
14,./part-affordance-dataset/tools/scissors_07/scissors_07_00000120_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000120_label.mat
15,./part-affordance-dataset/tools/scissors_07/scissors_07_00000058_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000058_label.mat
16,./part-affordance-dataset/tools/scissors_07/scissors_07_00000048_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000048_label.mat
17,./part-affordance-dataset/tools/scissors_07/scissors_07_00000199_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000199_label.mat
18,./part-affordance-dataset/tools/scissors_07/scissors_07_00000189_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000189_label.mat
19,./part-affordance-dataset/tools/scissors_07/scissors_07_00000083_rgb.jpg,./part-affordance-dataset/tools/scissors_07/scissors_07_00000083_label.mat
